,body,created,deadline,id,isPublic,isSignable,issues,petition_type,reachedPublic,signatureCount,signatureThreshold,signaturesNeeded,status,title,type,url
0,Senator Chuck Schumer and House Rep Nancy Pelosi are undermining the new administration using stall tactics and false narratives to further the agenda of their shadow party. We the People call for their resignations immediately. They refuse to focus on real issues connecting the Obama administration to the scandals they have had a hand in to destroy our new administration. They refuse to investigate the illegal acts of Hillary Clinton and Obama. They started with General Michael Flynn and now they are going after AG Jeff Sessions. Obama fired 35 Russians and Flynn tried to calm the volatile situation. Sessions did his job as a senator an never spoke to the Russians as a surrogate but as a Senator. Chuck Schumer and Nancy Pelosi are undermining our government and need to resign immediately.,1488477043,1491065443,2515341,True,True,"Government & Regulatory Reform, Homeland Security & Defense",Call on Congress to act on an issue,1488520368,172,100000,99828,open,We the People call for the resignations of Senator Chuck Schumer and House Rep Nancy Pelosi.,petition,https://petitions.whitehouse.gov/petition/we-people-call-resignations-senator-chuck-schumer-and-house-rep-nancy-pelosi
1,"We are requesting that visas are relocated from Cuba to the Cubans in limbo.  They would be allocated in order of priority giving first right to Cuban immigrants who left between July 12, 2016-January 12, 2017.  2nd priority to Cubans who left Cuba prior July 11, 2016.  These visa would include the areas of Central America and throughout Latin America, Mexico, Serbia, Venezuela and other locations.",1488319208,1490907608,2514146,True,True,"Homeland Security & Defense, Immigration",Take or explain a position on an issue or policy,1488505425,197,100000,99803,open,Visas through xCuban Family Reunification Parole Programx  to be relocated to Cubans who left Cuba before January 12th.,petition,https://petitions.whitehouse.gov/petition/visas-through-cuban-family-reunification-parole-program-be-relocated-cubans-who-left-cuba-january-12th
2,"It effects every American in some way.  It will also Keep Americans from funding terrorism, the drug cartels.  This would bring jobs in the following industries energy, farming, housing, industrial manufacturing, healthcare.  Bring in much needed tax dollars.  Fuel our military and provide better body armor for our troops.  Fuel America and have a surplus for foreign export.",1487908661,1490497061,2510831,True,True,"Budget & Taxes, Economy & Jobs, Veterans & Military",Change an existing Administration policy,1488460598,198,100000,99802,open,Legalize Marijuana and bring jobs to millions of Americans.,petition,https://petitions.whitehouse.gov/petition/legalize-marijuana-and-bring-jobs-millions-americans
3,"""In the dying days of the Ottoman Empire, under the cover of World War I, the Young Turk government embarked on a racist strategy of xTurkificationx of what had been a multi-ethnic, multi-religious empire. One-and-one-half million Armenians were murdered in the Armenian Genocide, and survivors were exiled from their 3,000-year-old homeland."" -http://www.recognizearmeniangenocide.org/

We Would like to petition the United States government to officially recognize the Armenian Genocide of 1915 as a 'genocide.' 45 states have shown recognition and former president Obama had promised to acknowledge the genocide, but failed to do so.",1488407100,1490995500,2514756,True,True,"Civil Rights & Equality, Government & Regulatory Reform",Take or explain a position on an issue or policy,1488414021,975,100000,99025,open,Officially Recognize The Armenian Genocide Of 1915,petition,https://petitions.whitehouse.gov/petition/officially-recognize-armenian-genocide-1915
4,"Walleye are political pawns at Mille Lacs Lake
While natives and non-natives battle over reservation boundaries on Mille Lacs Lake, treaty management of the lakes resources has become a quagmire. Democratic led state Department of Natural Resource officials say their hands are tied. Mille Lacs Band officials are screaming xFOUL!x at every turn. As a result of the 1999 Supreme Court ruling on the 1837 treaty with the seven tries of the Ojibwe, the once sought after walleye has become a game piece in the struggle to retain jurisdiction of the south end of Mille Lacs for both parties.
Only thing is, this is no game.
The plan since the treaty was ruled on for the Ojibwe Tribe is simple. Ruin the walleye fishing and the resorts and businesses that non-natives own have been bankrupted.",1488314497,1490902897,2514066,True,True,"Civil Rights & Equality, Economy & Jobs, Government & Regulatory Reform",Change an existing Administration policy,1488399815,216,100000,99784,open,Eliminate Mille Lacs Lake Treaty Management,petition,https://petitions.whitehouse.gov/petition/eliminate-mille-lacs-lake-treaty-management
5,"We cannot make America great with so many disabled autistic children, so we must urgently face the autism epidemic, admit its reality and confront its stunning rise.  In addition, we must rein in Americaxs exploding vaccine schedule. Crucial to any reform in both autism and vaccine policy is an initiative to shine light on corruption and xdrain the swampx of unaccountable bureaucrats.
We ask you to take six actions:
1. Declare autism a national emergency. 
2. Convene a Presidential Commission on Vaccine Safety and Scientific Integrity. 
3. Depose the CDC whistleblower Dr. William Thompson.
4. Conduct a study comparing total health outcomes in vaccinated and unvaccinated populations. 
5. Create a National Vaccine Safety Board.
6. Repeal and Replace the National Childhood Vaccine Injury Act.",1488381986,1490970386,2514516,True,True,"Economy & Jobs, Health Care, Technology & Innovation",Propose a new Administration policy,1488392615,7696,100000,92304,open,Take Action to End the Autism Epidemic and Implement Comprehensive Reforms of Vaccine Safety Policies,petition,https://petitions.whitehouse.gov/petition/take-action-end-autism-epidemic-and-implement-comprehensive-reforms-vaccine-safety-policies
6,"Locked up by US Government for 10 Years 
IN PRISON FOR EXERCISING HIS CONSTITUTIONAL RIGHT TO FREE SPEECH
KEVIN TRUDEAU WAS NOT ARRESTED
 KEVIN TRUDEAU DID NOT COMMIT A CRIME
 KEVIN TRUDEAU WAS NOT CHARGED WITH A CRIME
 KEVIN TRUDEAU WAS NOT CONVICTED OF A CRIME
 KEVIN TRUDEAU WAS NOT ORDERED TO PAY A FINE
 KEVIN TRUDEAU WAS NOT ORDERED TO PAY RESTITUTION

KEVIN CANNOT GET OUT OF PRISON BY HIMSELF
HE NEEDS OUR HELPxNOW
WE ALL HAVE TO HELP KEVIN, WE DONxT HAVE ANY CHOICE

http://kevintrudeau.com",1486647210,1489239210,2497426,True,True,Criminal Justice Reform,Take or explain a position on an issue or policy,1488370830,217,100000,99783,open,Release Kevin Trudeau,petition,https://petitions.whitehouse.gov/petition/release-kevin-trudeau
7,"The DEA has erroneously classified marijuana as a Schedule I Drug. The States are more apt to judge and understand if citizens favor legalization, whether for medical or recreational use. Jeff Session is wrong and prejudice and is exercising his personal views, which misrepresents America. President Trump stated in 2016 he believed marijuana use should be left up to the states.",1488313573,1490901973,2514051,True,True,"Civil Rights & Equality, Criminal Justice Reform, Health Care",Change an existing Administration policy,1488335412,624,100000,99376,open,Make marijuana legalization for recreation or medical use a states right issue.,petition,https://petitions.whitehouse.gov/petition/make-marijuana-legalization-recreation-or-medical-use-states-right-issue
8,"We the people request Congress to Create a Missing Veteran Alert System, with heightened alert for in-crisis Veterans and Military Personnel. Allow missing person report to be filed with no wait restrictions for civilian and military law-enforcement. Allow search efforts to immediately begin upon transaction of MPR. Provide Veteran's Courts in all 50 states. Mandate training for all First-Responder's to facilitate their assistance with in-Crisis Veterans and Servicemembers. Mandate all states reporting of Veteran suicide data to national level. Name new policy Erik Jorgensen's Law. Inspired by Erik Lane Jorgensen's, U.S. Army SPC Afghanistan Combat Veteran of Idaho with combat PTSD, completed suicide summer 2013. Please honor our Heroes with new legislation.",1488199636,1490788036,2513111,True,True,"Government & Regulatory Reform, Homeland Security & Defense, Veterans & Military",Propose a new Administration policy,1488331930,292,100000,99708,open,"Write new policy, Erik Jorgensen's Law to prevent Veteran and Active Duty Suicide",petition,https://petitions.whitehouse.gov/petition/write-new-policy-erik-jorgensens-law-prevent-veteran-and-active-duty-suicide
9,"Approximately 1 in 5 youth aged 13x18 suffer from a severe mental disorder. Currently there are no consistent required screening procedures done in pediatric offices for the early detection of these disorders. The Klein High Jr. Medical Reserve Corps team in partnership with the Harris County MRC has initiated this petition to require screening for mental illness in our youth. Some schools have initiated suicide prevention programs, but they still inadequately address the issue at hand. Take action to require comprehensive mental health screening as a part of all annual physical examinations completed by pediatricians for the detection of mental illness in teenagers. With your help, we can make a change in the lives of teens living with undiagnosed mental illnesses.",1487973758,1490562158,2511506,True,True,Health Care,Call on Congress to act on an issue,1488326361,188,100000,99812,open,Take Action to Improve Screening for Mental Illness in Teens,petition,https://petitions.whitehouse.gov/petition/take-action-improve-screening-mental-illness-teens
