,profile,url,tweet_bags
0,Donald Trump,https://twitter.com/POTUS,"FBI Director Comey: fmr. DNI Clapper ""right"" to say no evidence of collusion between Russia and Trump Campaign. #ComeyHearingpic.twitter.com/MqBG2xd4s7 FBI Director Comey admits Obama?s White House had ability to ?unmask? American citizens.https://m.youtube.com/watch?feature=youtu.be&v=eI8Eag_9LJ8?? FBI Director Comey says classified leaks to the media have been ?unusually active? recently.pic.twitter.com/WumDJSqaFA NSA Director Rogers tells Congress unmasking individuals endangers national security.pic.twitter.com/jTwjPINvNh The NSA and FBI tell Congress that Russia did not influence electoral process.pic.twitter.com/d9HqkxYBt5 FBI Director Comey refuses to deny he briefed President Obama on calls made by Michael Flynn to Russia.pic.twitter.com/cUZ5KgBSYP Stories like Dr. Sethi's are why @POTUS is fighting to #RepealAndReplace #Obamacare. Share your story here: http://45.wh.gov/2Hneor?pic.twitter.com/4KPkKY8GOb #ICYMI: Watch @POTUS' Weekly Address http://45.wh.gov/Jjp2ki?pic.twitter.com/qysLcgrfNK Stories like Ms. Sertich's are why @POTUS is fighting to #RepealAndReplace #Obamacare. Share your story here: http://45.wh.gov/2Hneor?pic.twitter.com/gz7lemvPJ0 ...vast sums of money to NATO & the United States must be paid more for the powerful, and very expensive, defense it provides to Germany! Despite what you have heard from the FAKE NEWS, I had a GREAT meeting with German Chancellor Angela Merkel. Nevertheless, Germany owes... It's time to put #AmericaFirst when it comes to how we spend taxpayers' money. We will keep our people safe! 
http://45.wh.gov/NF9wr4? Weekly Address - 11:00 A.M. tomorrow! #MAGA   http://45.wh.gov/Jjp2ki?pic.twitter.com/P7n7b8T2cD Stories like Dr. Armstrong's are why @POTUS is fighting to #RepealAndReplace #Obamacare. Share your story here: http://45.wh.gov/2Hneor?pic.twitter.com/9XzqSDEVJ2 Great meeting with the @RepublicanStudy Committee this morning at the @WhiteHouse!pic.twitter.com/U8gaHBVmW7 Attending a great listening session with @DeptVetAffairs @SecShulkin in the Roosevelt Room. We are going to take care of our VETS! #Heroespic.twitter.com/vruM7JM0Bw Today @POTUS welcomes the Chancellor of Germany, Angela Merkel, to the White House. 

Watch their press conference: http://45.wh.gov/KNhLdo?pic.twitter.com/sWovglJFEH North Korea is behaving very badly. They have been ""playing"" the United States for years. China has done little to help! Happy L? Fheile Phadraig to all of my great Irish friends! Join @POTUS @Cabinet on Twitter! @SecPriceMD @EPAScottPruitt @SecElaineChao @SecretaryZinke @SecretaryCarson @SecretaryPerry @SecShulkinpic.twitter.com/vAGhSrOgvb"
1,Betsy Devos,https://twitter.com/BetsyDeVosED,"#NASBE CEO Kris Amundson reiterates ""nothing short of excellence should be our common refrain."" - DeVos #NASBELegCon DeVos: I challenge you to keep raising the bar. There's always more work to be done and new ways to inspire learning. #NASBELegCon #AmericasBudget streamlines and simplifies college funding programs to help make higher education more affordable. #AmericasBudget ensures funding for @USEDGOV mission to support the nation?s most vulnerable students, including those with disabilities. #AmericasBudget delivers on @POTUS' promise to expand #SchoolChoice and focus on serving students. #AmericasBudget makes clear that education is a top priority for this Administration. We will put kids first and give parents options! As I told @NLGA, we will empower states to better serve students. We must give the rising generation every opportunity possible to succeed!pic.twitter.com/jg9le0UyWx Thanks for the conversation and insights!https://twitter.com/leagueofcities/status/841409430289817601?? The greatest opportunity for each child to reach his or her full potential & pursue the American Dream is through a great education. Children have the opportunity to flourish as their teachers & administrators innovate & tailor education to the needs of their students. Thank you @EricGordon_CEO @CLEMetroSchools for helping encourage this program. ? and it introduces them to skills and subject-areas with high-potential futures. (2/2) .@CLEMetroSchools .@CLEMetroSchools hands-on experience encourages students to engage in ways the traditional classroom often does not? (1/2) .@CLEMetroSchools ?Project Lead the Way? connects students with engineering businesses and organizations in the community. .@DPSNewsNow ?Success Express? is a great example of how LEAs are leveraging federal, state and local funds to best serve children. .@DPSNewsNow provides transportation to children from under-served areas to schools in other regions of the city. It?s this kind of local control that we want to empower. Now parents are in direct control. The community takes ownership of developing the School 15?s structure, staffing and performance. ... but in recent months, parents & teachers in Indy have come together to propose School 15 become a ?neighborhood-run? school. (2/2) .@ipsschools School 15 has struggled for years with low-test scores, and the state gave it an ?F? in 2016... (1/2)"
2,Kellyanne Conway,https://twitter.com/KellyannePolls,"Congratulations @erictrump & @LaraLeaTrump on the best news of the day. Wonderful people make amazing parents.https://twitter.com/erictrump/status/843854763825528832?? Bannon 2 @mollyesque: immigration poll a pillar of ?the intellectual infrastructure of populist movement that candidate Trump galvanized?https://twitter.com/mollyesque/status/843788012433620992?? The 2014 breakout #poll on immigration included a memo about ""America First"" policies that protects workers & raises wages.https://twitter.com/mollyesque/status/843788012433620992?? These #poll numbers are eye-popping:https://twitter.com/secretsbedard/status/843587560467288065?? Just one key excerpt from a very good interview between @EricTrump and @MariaBartiromo.https://twitter.com/foxnews/status/843580285983768576?? Since 2007, the % of Hispanic women owned businesses has increased by 137%. We must support businesswomen like Lili http://m.huffpost.com/us/entry/us_58cc03c3e4b07112b6472cd7??? How I miss those days! Twins=Born with a best friend and mischief-maker.https://twitter.com/nbcnews/status/843564245501575170?? Happy Birthday @Reince. That is quite the big gift.https://twitter.com/reince/status/843211093048745984?? So honored to be a part of @SpecialOlympics Opening Ceremony & walk with these incredible athletes. @specialolyUSA
#grateful #inspiredhttps://twitter.com/bhofheimer_espn/status/843178088867528707?? In a historical visit- @POTUS @realDonaldTrump honors  #POTUS7 #AndrewJackson on his 250th birthday - lays wreath at tomb in Hermitage, TN.pic.twitter.com/iLsLubD48G ? at Andrew Jackson's Tomb #Poll: Trump Approval, Voter Optimism on the Rise.https://morningconsult.com/2017/03/15/poll-trump-approval-voter-optimism-rise/?? #poll that adds perspective to current discussion about health care reform.https://twitter.com/SteveKornacki/status/841993916186517506?? Love this piece on super mom of 3 & super communicator @SarahHuckabeehttp://bigstory.ap.org/article/29ea3c163ce34b00bd4b2deb4145dfd6/sarah-huckabee-sanders-rising-star-trumps-orbit?? Thoughtful piece re: ed reform. Top 3 reasons Congress should support school choice in Wash, DC http://washex.am/2n54hGb? via @DCExaminer That's a lot of zeroes. @foxandfriends @IngrahamAngle discussing this now.pic.twitter.com/LCOepjbMtm Likely not what people mean when they say we should have more money for health care.https://twitter.com/nypost/status/841183242816499712?? Spoke to @foxandfriends today about the numbers that matter most to Americans: 235K jobs created and under 5% unemployment. #realimpactpic.twitter.com/HfVjwohREJ Top healthcare take aways from my time @GMA.  5 states and 1,021 counties only have 1 provider under #Obamacare - that's not a choice.pic.twitter.com/8csIFRp09K #FakeNewsAlert & why so many people don't trust what they read Headlines don't match story. Never made nexus.http://www.independent.co.uk/news/uk/politics/kellyanne-conway-donald-trump-barack-obama-spying-through-microwave-claims-a7626826.html?? #Eagles and QB Nick Foles agree to terms on a two-year deal. #FlyEaglesFly

More: http://phieagl.es/2miHKC2?pic.twitter.com/f18RKWCJ53"
3,Mike Pence,https://twitter.com/mike_pence,".@POTUS showed true leadership in his #JointAddress?laying out an agenda of tax relief, affordable healthcare & commitment to peace & safety It was my honor to speak at the @March_for_Life today w/ my family & share the commitment of @POTUS to restore culture of life in America.pic.twitter.com/2ucCZBAdHj We have come to a historic moment in the cause of life, and we must meet this moment with respect and compassion for every American. .@POTUS and I stand with the @March_for_Life. Be assured, we will not rest until we restore a culture of life for ourselves & our posterity. Let this movement be known for love not anger - for compassion not confrontation. #MarchforLife One week ago today, we witnessed the historic inauguration of a president who stands for the right to life - President @realDonaldTrump. Life is winning in America. Today's @March_for_Life is a celebration of the progress that we have made in the cause. Our new UN Ambassador @nikkihaley is getting right to work with President @realDonaldTrump and @SenRubioPress.pic.twitter.com/7Ib1DjuAYt The Dow closes above 20K for 1st time in history. US economy is being unleashed under President @realDonaldTrump. https://www.google.com/amp/www.cnbc.com/amp/2017/01/25/us-markets.html?? Law enforcement worked tirelessly to secure the inauguration. Today the President & I thanked them during a reception at The @WhiteHouse.pic.twitter.com/U4ODCEvKJW Thanks to everyone for a wonderful inaugural evening. #MAGApic.twitter.com/ya0qvucFI8 Stay up to date here and follow @VP for official updates.https://twitter.com/vp/status/822505454450470912?? Grateful for the support throughout the transition from @VP Biden &  @DrBiden44. Pleasure to have them welcome Karen & me to The White Housepic.twitter.com/M5khWysIU6 We begin this historic and humbling day as we do every day, with a moment of reflection and prayer. #InaugurationDaypic.twitter.com/sfJkGktFpe Honored to stand shoulder-to-shoulder with the next President of the United States . The work to #MAGA begins today!https://twitter.com/realdonaldtrump/status/822421390125043713?? Karen and I enjoyed a magical evening at the candlelight dinner at Union Station with President-elect @realDonaldTrump and Melania Trump.pic.twitter.com/62exLKfXKx Tomorrow history will be made. Tonight was for family, Hoosier friends, & a dance with the greatest blessing in my life, my wife Karen.pic.twitter.com/CnvTtdYkXv So very proud of my wife, Karen. She was an amazing First Lady of Indiana & will make a great Second Lady of the US.pic.twitter.com/3Whm8RD5Mz Fitting start to a weekend of history. Paying tribute with President-elect @realDonaldTrump to those who sacrificed and served our country.pic.twitter.com/4Rwra4pM9h Congrats to @RRMGOP on her election as Chair of @GOP. With her energetic leadership, President-elect @realDonaldTrump will #MAGA "
4,Mitt Romney,https://twitter.com/MittRomney,"I'm a fan of proposed Deputy Treasury Secretary Jim Donovan. A qualified person of integrity and a friend for many years. Thanks to the WashU students and @DeanNancyStaudt for hosting me this afternoon. Really enjoyed your thoughtful questions.https://twitter.com/WUSTLnews/status/836322870456385537?? Congrats to my great-nephew, @BYUCougars center Eric Mika, on his 29 points and the win Saturday vs. Gonzaga.http://bleacherreport.com/articles/2694997-byu-vs-gonzaga-score-and-reaction-from-cougars-upset-win?? Happy Valentine?s Day to my sweetheart, Ann.pic.twitter.com/EsUbFRfdAh I strongly urge the Senate to confirm Andy Puzder as our next Secretary of Labor. https://www.facebook.com/mittromney/posts/10154154071746121?? Thought-provoking plan from highly respected conservatives to both strengthen the economy & confront climate risks:http://www.clcouncil.org? Happy 105th birthday to my wonderful mother Roberta - we love you mom!pic.twitter.com/63E912Imub An important and welcome choice: Judge Gorsuch will help restore much needed faithfulness to the Constitution. MLK inspired my mom: ""We must forever conduct our struggle on the high plane of dignity and discipline.""pic.twitter.com/HaBg7s7Qco Betsy DeVos is a smart choice for education secretary. My op-ed in today?s @washingtonpost:https://www.washingtonpost.com/opinions/mitt-romney-trump-has-made-a-smart-choice-for-education-secretary/2017/01/06/627550e0-d421-11e6-9cb0-54ab630851e8_story.html?utm_term=.ff421366f01c?? From our family to yours: Merry Christmas.pic.twitter.com/9n2omOws7M It was an honor to have been considered for Secretary of State of our great country. https://www.facebook.com/mittromney/posts/10153988122401121?? Honored today to help ordain my grandson Wyatt a deacon in my church.pic.twitter.com/NND17FQKpF As a boy, John Glenn lifted my eyes to the heavens. Today, they welcome him back. Thank you, @NHJennifer for your steady hand guiding the NH GOP. Your leadership will be missed. No greater joy than making discoveries together with grandchildren.pic.twitter.com/NxIYsog6lC Thankful today for a full house and full heart.pic.twitter.com/KGfOO4LWW2 One of America's finest journalists gone far too soon. We will miss Gwen Ifill's brilliant voice and kind heart. Let us today honor the sacrifice and service of our heroic men and women in arms. #VeteransDay Best wishes also for the GOP victors in the House, Senate & statehouses: may you govern with the high seriousness befitting our great nation"
5,Jeb Bush,https://twitter.com/JebBush,"Such an unnecessary distraction given all the challenges and opportunities we face. Focus on the important stuff.http://www.cnn.com/2017/03/17/politics/gchq-trump-wiretap-denial/?? The CBO has a history of overestimating benefits of progressive policy and underestimating market approaches.https://www.wsj.com/articles/medicaid-is-free-so-why-does-it-require-a-mandate-1489529946?mod=e2two&mg=id-wsj?? Congratulations @GovMattBevin and @BamCarney for passing HB 520 #CharterSchools empowering #Kentucky?s students and families! #edreform Jim Donovan will be an exceptional Deputy Secretary of Treasury. He?s a capable, talented man of integrity. Proud to call him a friend. Here is why Arizona must expand its Empowerment Scholarship Accounts. #schoolchoice #edreformhttp://www.azcentral.com/story/opinion/op-ed/2017/03/13/empowerment-scholarship-accounts-jeb-bush/98904784/?? America is a nation of immigrants. The sentiment expressed by Steve King doesn't reflect our shared history or values.https://twitter.com/carloslcurbelo/status/841085746387812353?? A fantastic story about a group of Florida high school students setting an example for us all.http://www.cbsnews.com/news/boca-raton-community-high-school-most-valuable-lesson-taught-at-lunch/?? How Trump Can Expand School Choice. Strong advocacy from Cardinal Dolan.https://www.wsj.com/articles/how-trump-can-expand-school-choice-1489016469?? WikiLeaks?s New Damage How lax can we be? This is so dangerous for our national security.https://www.wsj.com/articles/wikileakss-new-damage-1488931419?? The Mob at Middlebury. Alumni should rise up against this.https://www.wsj.com/articles/the-mob-at-middlebury-1488586505?? Brian Murphy and I opine on the power of #schoolchoice and thank Governor @EricGreitens and the #MOLeg for their leadership on #edreformhttps://twitter.com/ExcelinEd/status/837733441974194176?? Today's education model needs to be updated for today's workforce needs, says @JebBush during his news conference with #moleg lawmakers.pic.twitter.com/fQky1lRVmj Thanks to our Missouri #edreform partners for the invitation to visit the #MOLeg today to talk #schoolchoice @excelined @ceamteampic.twitter.com/gXvbBnNYvz Great to see @DenishaMweather recognized at tonight?s #JointSession. She is a remarkable example of the power and potential of school choice I hope folks take an opportunity to check out my brother?s book, coming out tomorrow. It?s an incredible tribute to some of America?s finesthttps://twitter.com/TheBushCenter/status/836289829319151621?? I?m with @EricCantor. @TerryMcAuliffe has a huge opportunity to improve education in Virginia and change the course for countless students.https://twitter.com/EricCantor/status/836318038127411200?? It was remarkable to see Katherine Johnson on stage at the Oscars tonight. She's an American icon.https://twitter.com/NASAhistory/status/836037852068720640?? Best of luck to my friend @jimmykimmel tonight. Let's see if he can top his ride to the last awards ceremony.https://www.youtube.com/watch?v=r54CqBhoIjk?? Great News from the White House: In sweeping move, Trump puts regulation monitors in U.S. agencies http://reut.rs/2mkvd1k? via @Reuters Beware of slippery slope. Dutch Doctor Forces Assisted Suicide Dose On Sedated, Protesting Patienthttp://thefederalist.com/2017/02/23/dutch-doctor-forces-assisted-suicide-dose-sedated-protesting-patient/#.WK9P6lzAYNE.twitter??"
6,Milo Yiannopoulos,https://twitter.com/DontGoAwayM4d,"http://bit.ly/2mRyeJq? via /r/KiA #gamergate Kotaku UK's Rich Stanton Outed With Financial Conflict Of Interest | #GamerGate #Ethics http://www.oneangrygamer.net/2017/03/kotaku-uks-rich-stanton-outed-with-financial-conflict-of-interest/25869/??pic.twitter.com/3goK4SZ4vp The FAKE NEWS media (failing @nytimes, @NBCNews, @ABC, @CBS, @CNN) is not my enemy, it is the enemy of the American People! .@Jonathan_Blow Congratulations! It only took you 30 months longer than the rest of #GamerGate and #NotYourShield to figure that out.pic.twitter.com/BJeh9BkmbH #Gamergate was the first real left-wing pushback against the social tyranny of SJWs. Bunch of god-damned shitposting heroes.https://twitter.com/xcommanderLx/status/825298962890436609?? TFW you realize #Gamergate didn't end. It's just that virtually every gaming website went out of business.pic.twitter.com/48mbtiOs4L DeepFreeze.it update.
Five conflicts of interest on journalists covering Christine Love. Three are original digs.
#GamerGate.pic.twitter.com/HdCFIpPQYo I twisked the 'Gamers are over' article in 2014 but didn't thread it, so I've compiled it into a #GamerGate 'Moment'https://twitter.com/i/moments/812067864484134913?? I am going to keep tweeting in the #GamerGate hashtag in 2017 in anticipation for the 2018 Massachusetts House of Representatives election.pic.twitter.com/qgEApj0MnJ The fact that I just discovered this, and can therefore not get it for Christmas, has me devastated.pic.twitter.com/xIbtDWtNwG Watching @LeahRemini Scientology documentary on A&E. really good.http://www.aetv.com/shows/leah-remini-scientology-and-the-aftermath?? DeepFreeze.it update, showing new by-outlet classification.
Six new entries, all outlet-only, all involving older events.
#GamerGatepic.twitter.com/p7qQFfTkBw Quick question:

Do you or have you ever considered yourself part of #GamerGate?

Please vote and retweet if ya can My panel about censorship and #gamergate has been a success. Ppl laughed at the stupidity of gaming media You're right guys, it wasn't that your strategy of calling everyone a homophobe/racist was wrong, you need to DOUBLE DOWN NOW!! ""Breitbart played a key role in Gamergate. Congratulations, America, you put Gamergate in the fucking White House.""

Glorious! #GAMERGATE BTW, #Gamergate, congrats on taking down your first world boss. Did #Gamergate do this? They never learn from their mistakes... http://kukuruyo.com/comic/gamergate-triggerhappy-meet-premiere/?? #PremiereSAO @PremiereSAO #gamergatepic.twitter.com/IP7rKEd51B DeepFreeze.it update.
Completely renewed by-outlet entry filing and outlets page.

#GamerGatepic.twitter.com/BfAe0EGCpH"
7,Sarah Palin,https://twitter.com/SarahPalinUSA,"JUST In... http://fb.me/124E4KuhZ? This is major... http://fb.me/ahgdOpc2u? What a beautiful way to teach our kids! http://fb.me/8JbeSZuyw? It's on! To many voters, this is what the 2016 election boiled down to. What do you think? http://fb.me/PzYCqKFG? Just in... http://fb.me/5XBpJTrBX? Liberal hypocrisy at it's worst. http://fb.me/7otCXWlQm? Oh boy... http://fb.me/8CukTdEue? Right on!  http://fb.me/4I2n0J6Ub? In 2011, Todd and I had the honor of visiting Israel and enjoying a private dinner with Prime Minister Benjamin... http://fb.me/2Q1keYvie? In 2011, Todd and I had the honor of visiting Israel and enjoying a private dinner with Prime Minister Benjamin... http://fb.me/LjkFKrzL? Whoa...http://fb.me/3m5WRAMkB? This is terrible. http://fb.me/1etKrneBU? Not tired yet!  http://fb.me/4nMJ9QB7Z? 'Proud American' Angelina Jolie Gives Address to UN, Shocks Everyone with 4 Inconceivable Words...http://fb.me/1eNNvFs3i? Interesting development. http://fb.me/2Y9hsYbFv? Enough already! http://fb.me/1LrgogGMP? Saw this coming...http://fb.me/6nt5YWpy6? Ridiculous! http://fb.me/4OT8wWUHS? Not good. http://fb.me/3u0nYkmGE? Straight shooter just like his Dad... http://fb.me/6fmFBimhU?"
8,Ted Cruz,https://twitter.com/tedcruz,"Add your name if you agree -- no US funding for the UN until the Israel vote is reversed: https://www.tedcruz.org/l/defund-the-un/?? #StandWithIsrael 7 years ago, video of baby Caroline playing with her grandfather in the snow: https://www.facebook.com/tedcruzpage/posts/10155023513777464??pic.twitter.com/besVNTjc0T A decade ago, Judge Gorsuch was confirmed in the Senate. Not one Democrat spoke in opposition to him. #SCOTUShttps://twitter.com/politifact/status/843820930317111296?? .@TedCruz to Democrats: ""What has changed? Ten years ago, [Gorsuch] was so unobjectionable he didn?t merit even a whisper of disapproval."" Cruz talks up 2016 election as referendum on direction of Supreme Court. ""The people chose originalism, textualism and the rule of law."" WATCH LIVE: Chairman @ChuckGrassley leads hearing on nomination of Neil Gorsuch to be Associate Justice of #SCOTUS https://www.facebook.com/senjudiciary/videos/433367367001551/?? The time to act is now upon us.http://on.wsj.com/2mUyAhz? Republicans have pledged for six years to repeal ObamaCare and return choice to America?s health-care system.http://on.wsj.com/2mUyAhz? #CruzCrew: Tomorrow I'll appear on @FaceTheNation on CBS. Find out when it airs here: http://www.cbsnews.com/face-the-nation/local-listings/??

Hope you'll tune in!pic.twitter.com/p3dnzcpOMW SUNDAY: Don't miss our exclusive interview with @tedcruz! Check your local listings for times. http://cbsn.ws/2mYBJ09?pic.twitter.com/KEPTIeIvoH SUNDAY: @tedcruz, WH Budget Director Mick Mulvaney and @NancyPelosihttp://cbsn.ws/2nO7I0D? It's time we deliver on our promise to repeal Obamacarehttps://www.youtube.com/watch?v=c1jGxoXaQOs?? The three criteria for health reform by @SenTedCruz and @RepMarkMeadows http://on.wsj.com/2mUyAhz? via @WSJOpinion Here are the pics of @SenTedCruz @tedcruz Doing a ""stage dive"" at the @FreedomWorks #DayofActionpic.twitter.com/GPBsjZc2Eq Mattis pulls Pentagon pick over Muslim Brotherhood fears http://fxn.ws/2lXXpui?pic.twitter.com/DNQxQwNgBp Congrats to Jim Donovan on being nominated Dep Secretary of Treasury. Jim's a good man--smart & well qualified to lead fight for tax reform. Becket names ?Lion of the Law? Leonard Leo 2017 Canterbury Medalist: http://buff.ly/2m1B3Im? #CMG2017 .@tedcruz @SenTedCruz at the #DayofAction rally. #StormCongress #ObamaCare http://ow.ly/U2OP309Y1ht?pic.twitter.com/TcXLV1k0v6 The time to act is now upon us:https://www.wsj.com/articles/three-criteria-for-health-reform-1489618565?? There?s a path forward ? if the admin & Republicans from across the political spectrum can put aside past differences to find consensuspic.twitter.com/9WEiZrRArw Does it provide Americans more control over their families? health care?"
9,Jerry Brown,https://twitter.com/JerryBrownGov,"California is Not Turning Back, Not Now, Not Ever: http://bit.ly/2juAoK7? #CASOTSpic.twitter.com/F7sgOas5YK @JerryBrownGov @AGBecerra @kdeleon @Rendon63rd Blast Cynical Ploy by @POTUS, Car Makers to Undo US Pollution Stndrds http://bit.ly/2ntwrYv?pic.twitter.com/OVIatU1C3h #CBO report makes it crystal clear that this harebrained scheme to repeal #Obamacare is a really dumb idea & will cause millions to suffer. .@JerryBrownGov on @fema Approval of #OrovilleSpillway & January Storm Presidential Disaster Declaration Requests http://bit.ly/2kI6bIn?pic.twitter.com/9X4s8Lzlle .@JerryBrownGov requests direct federal assistance to bolster state?s ongoing #OrovilleSpillway response: http://bit.ly/2kEgXzk? .@JerryBrownGov speaking live now at State Operations Center: http://bit.ly/2kl2sUN? #OrovilleSpillway .@JerryBrownGov Issues Emergency Order to Help Response to #OrovilleSpillway http://bit.ly/2ladU52?pic.twitter.com/ULQGjkt1c1 .@realDonaldTrump, California?s ready. #CAHSRA https://twitter.com/thehill/status/829723286208655360?? World leaders are goofing off...We need the people themselves to live in the truth, to demand the truth.http://bit.ly/2jojBaZ? I wish every Californian a happy, healthy and prosperous Lunar New Year. Gung Hay Fat Choy! #YearOfTheRooster No time for naps around here, @ColusaBrown. #CAWaterfixhttps://twitter.com/ColusaBrown/status/821462698395201536?? Let us reflect on his words and vision, and consider what each of us can do today to help keep his dream alive. #MLKDaypic.twitter.com/qqTKOt01HM RIP Sutter. You will always live in our hearts and your sister is watching over you.pic.twitter.com/6KS5T2tsIA A beautiful day on the ranch, but a very sad parting. Happy trails, @SutterBrown. http://bit.ly/2imNIk0?pic.twitter.com/p7jIHsAcdQ Last year, I received the draft #CAWaterFix EIR. Now, 30,000 comments later, the final report is out. http://bit.ly/2hdLkgq?pic.twitter.com/IS4VdYXNg8 We've got the scientists, we've got the universities, we have the national labs...and we will persevere.http://tinyurl.com/zle9quh? We won?t cut CO2 pollution until businesses are part of solution. CA companies like @Google continue to lead the wayhttps://goo.gl/ZYkoon? Our thoughts are with the entire city in this difficult time & we extend our condolences to the family & friends of those lost #OaklandFire The defeat of Prop 53 is good news for CA and our future. It means one less roadblock in solving our water and transportation problems This Veterans Day, let us welcome all our returning veterans with open arms. http://bit.ly/2ePY1Nf?"
