profile,url
Donald Trump,https://twitter.com/POTUS
Betsy Devos,https://twitter.com/BetsyDeVosED
Kellyanne Conway,https://twitter.com/KellyannePolls
Mike Pence,https://twitter.com/mike_pence
Mitt Romney,https://twitter.com/MittRomney
Jeb Bush,https://twitter.com/JebBush
Milo Yiannopoulos,https://twitter.com/DontGoAwayM4d
Sarah Palin,https://twitter.com/SarahPalinUSA
Ted Cruz,https://twitter.com/tedcruz
Jerry Brown,https://twitter.com/JerryBrownGov
Jill Stein,https://twitter.com/DrJillStein
Barack Obama,https://twitter.com/BarackObama
Joe Biden,https://twitter.com/JoeBiden
Bernie Sanders,https://twitter.com/SenSanders
Hillary Clinton,https://twitter.com/HillaryClinton
Robert Reich,https://twitter.com/RBReich
Justin Trudeau,https://twitter.com/JustinTrudeau
Nate Silver,https://twitter.com/NateSilver538
NYT Politics,https://twitter.com/nytpolitics
CNN Politics,https://twitter.com/CNNPolitics
FOX Politics,https://twitter.com/foxnewspolitics
Post Politics,https://twitter.com/postpolitics
We the People,https://twitter.com/WeThePeople44
