,id,created,deadline,title,issues,type,count,body,url
0,2434791,2017-01-20 10:47:16,2017-02-19 10:47:16,"Immediately release Donald Trump's full tax returns, with all information needed to verify emoluments clause compliance.","Foreign Policy, Government & Regulatory Reform",Tell us what the federal government is doing about an issue,1032520,"The unprecedented economic conflicts of this administration need to be visible to the American people, including any pertinent documentation which can reveal the foreign influences and financial interests which may put Donald Trump in conflict with the emoluments clause of the Constitution.",https://petitions.whitehouse.gov/petition/immediately-release-donald-trumps-full-tax-returns-all-information-needed-verify-emoluments-clause-compliance
1,2434746,2017-01-20 10:38:48,2017-02-19 10:38:48,Divest or put in a blind trust all of the President's business and financial assets,Government & Regulatory Reform,Change an existing Administration policy,335608,"In keeping with tradition and to avoid the appearance of conflicts of interest, corruption, and violations of the emoluments clause of the US Constitution, President Trump should divest his financial and business holdings or have them administered by a truly blind trust.",https://petitions.whitehouse.gov/petition/divest-or-put-blind-trust-all-presidents-business-and-financial-assets
2,2436006,2017-01-20 12:57:47,2017-02-19 12:57:47,Let American Farmers Grow Hemp Once Again to Create Jobs and Rebuild the Rural Economy,"Economy & Jobs, Government & Regulatory Reform, Rural Policy",Change an existing Administration policy,91810,"Industrial hemp was once a dominant crop on the American landscape. This hardy and renewable resource was refined for various industrial applications, including paper, textiles, and cordage. Unfortunately hemp was conflated with marijuana but hemp can't be used as a drug. Over time, the use of industrial hemp has evolved into an even greater variety of products, including health foods, body care, clothing, auto parts, construction materials, biofuels, plastic composites and more.Farmers in Europe, Canada and China all grow hemp and over $600 million in imported hemp products  were sold in the USA in 2016. Congress has 2 bipartisan bills which would bring back hemp farming and create rural jobs. We request that President Trump work with Congress to pass hemp legislation in 2017",https://petitions.whitehouse.gov/petition/let-american-farmers-grow-hemp-once-again-create-jobs-and-rebuild-rural-economy
3,2434936,2017-01-20 11:00:04,2017-02-19 11:00:04,Donald Trump:  Resign as President of the United States in Violation of the Emoluments Clause.  Release Your Tax Returns,"Civil Rights & Equality, Foreign Policy, Government & Regulatory Reform",Propose a new Administration policy,127571,"The President violates the Title of Nobility Clause, as explained in Article I, Section 9 of the United States Constitution.The clause states:  No title of nobility shall be granted by the United States: and no person holding any office of profit or trust under them, shall, without the consent of the Congress, accept of any present, emolument, office, or title, of any kind whatever, from any king, prince, or foreign state.Donald Trump has known financial ties with Russia, and owes hundreds of millions of dollars in debt to banks in foreign countries, such as China. The complicated business entanglements create a conflict of interest for national security issues.  The American People deserve to see his tax returns.Donald Trump needs to resign as President of the United States.",https://petitions.whitehouse.gov/petition/donald-trump-resign-president-united-states-violation-emoluments-clause-release-your-tax-returns
4,2434701,2017-01-20 10:29:33,2017-02-19 10:29:33,Repeal the NFA,"Foreign Policy, Government & Regulatory Reform, Gun Violence",Change an existing Administration policy,245202,"We the People wish to see the National Firearms Act of 1934 repealed in order to remove regulations on our 2nd amendment rights, increase national economic strength, and provide protection against threats to our national security.",https://petitions.whitehouse.gov/petition/repeal-nfa
5,2435781,2017-01-20 12:39:55,2017-02-19 12:39:55,Repeal the 1986 Hughes amendment,"Civil Rights & Equality, Government & Regulatory Reform",Call on Congress to act on an issue,77037,"The 1986 Hughes amendment (as part of the Firearm Owners Protection Act) is an unconstitutional ban that limits law abiding citizens from owning fully automatic weapons that were manufactured past May 19, 1986. Select fire weapons are already very heavily regulated under the 1934 National Firearms Act which requires you to register your gun and submit a tax stamp. Since 1934 there have only been 2 known homicides committed with a legally owned fully automatic firearm and one of them was caused by a police officer. This law does nothing to prevent crime and it raises the price of legal automatic weapons to a ludicrous price due to supply and demand. Repealing the unconstitutional Hughes amendment will restore our second amendment rights that have been under attack for a very long time.",https://petitions.whitehouse.gov/petition/repeal-1986-hughes-amendment
6,2437386,2017-01-20 15:12:25,2017-02-19 15:12:25,Investigate Hillary Clinton for crimes committed against the People and Government of the United States.,"Foreign Policy, Homeland Security & Defense, Immigration",Take or explain a position on an issue or policy,19313,Evidence contained in leaked emails from the Democratic National Committee indicate the need for a thorough investigation of the actions taken by Hillary Rodham Clinton while occupying the positions of United States Senator and Secretary of State.,https://petitions.whitehouse.gov/petition/investigate-hillary-clinton-crimes-committed-against-people-and-government-united-states
7,2435786,2017-01-20 12:40:15,2017-02-19 12:40:15,"Demand Trump administration add LGBT rights, climate change, and civil rights back to list of issues on wh.gov site","Civil Rights & Equality, Energy & Environment",Propose a new Administration policy,74094,"Within hours of the peaceful transition of power, the Trump administration removed Civil Rights, Climate Change, and LGBT Rights from the whitehouse.gov menu bar. We demand that the incoming administration prioritizes the rights of all Americans and our climate by re-enacting policies that address all of the aforementioned issues. Sign this petition to make your voice be heard. We the people will not allow ourselves to be erased.",https://petitions.whitehouse.gov/petition/demand-trump-administration-add-lgbt-rights-climate-change-and-civil-rights-back-list-issues-whgov-site
8,2442306,2017-01-21 08:55:42,2017-02-20 08:55:42,Do not defund the NEA or NEH,"Budget & Taxes, Education, Innovation: Arts & Technology",Change an existing Administration policy,106623,"Recent reports suggest President Donald Trump plans to defund the National Endowment for the Arts and the National Endowment for the Humanities. Without the NEA and NEH, artists and educators could be left without crucial government grants for their projects. Everything from orchestral performances to music enrichment programs in public schools would be negatively impacted.Funding for the national endowments are a minuscule portion -- 0.004% (!) -- of the nearly $4 trillion federal budget. In 2016, the NEA and NEH each received $148 million in funding.We ask President Trump to support the arts by not defunding the NEA and NEH.",https://petitions.whitehouse.gov/petition/do-not-defund-nea-or-neh-0
9,2435006,2017-01-20 11:12:52,2017-02-19 11:12:52,Boost the American Economy through Climate Action,"Economy & Jobs, Energy & Environment, Technology & Innovation",Take or explain a position on an issue or policy,22244,"The international economy is undergoing a revolution: nations are boosting their economies while reducing their pollution.U.S. trade partners and economic competitors are finding clean energy (solar, wind) and energy efficiency to be strongly boosting their economies and increasing competitiveness while leading to cleaner air and water for their people.  China has recently announced plans to invest $350 billion (BILLION) in clean energy while creating 13 million jobs by 2020.  With each passing day, clean energy options are becoming less expensive and increasingly (far) lower cost than traditional, polluting fossil-fuel energy options. The Trump Administration can fulfill its pledge to protect air/water, create jobs, and boost the economy through serious climate action.",https://petitions.whitehouse.gov/petition/boost-american-economy-through-climate-action
